Delivery Date,Delivery Hour,Delivery Interval,Settlement Point,Settlement Point Price
01/02/2022,9,4,HB_NORTH,23.49
01/02/2022,9,1,HB_SOUTH,17.79
01/02/2022,9,2,HB_SOUTH,17.73
01/02/2022,9,3,HB_SOUTH,17.07
01/02/2022,9,4,HB_SOUTH,17.58
01/02/2022,9,1,HB_WEST,23.95
01/02/2022,9,2,HB_WEST,23.88
01/02/2022,9,3,HB_WEST,22.78
01/02/2022,9,4,HB_WEST,21.26
01/02/2022,10,1,HB_HOUSTON,20.54
01/02/2022,10,2,HB_HOUSTON,21.04
01/02/2022,10,3,HB_HOUSTON,21.96
01/02/2022,10,4,HB_HOUSTON,22.39
01/02/2022,10,1,HB_NORTH,22.53
01/02/2022,10,2,HB_NORTH,22.86
01/02/2022,10,3,HB_NORTH,23.84
01/02/2022,10,4,HB_NORTH,23.46
01/02/2022,10,1,HB_SOUTH,16.38
01/02/2022,10,2,HB_SOUTH,17.19
01/02/2022,10,3,HB_SOUTH,17.92
01/02/2022,10,4,HB_SOUTH,18.65
01/02/2022,10,1,HB_WEST,19.97
01/02/2022,10,2,HB_WEST,20.14
01/02/2022,10,3,HB_WEST,21.29
01/02/2022,10,4,HB_WEST,22.47
01/02/2022,11,1,HB_HOUSTON,23.07
01/02/2022,11,2,HB_HOUSTON,23.73
01/02/2022,11,3,HB_HOUSTON,24.15
01/02/2022,11,4,HB_HOUSTON,26.63
01/02/2022,11,1,HB_NORTH,23.57
01/02/2022,11,2,HB_NORTH,24.25
01/02/2022,11,3,HB_NORTH,24.73
01/02/2022,11,4,HB_NORTH,27.34
01/02/2022,11,1,HB_SOUTH,19.46
01/02/2022,11,2,HB_SOUTH,19.95
01/02/2022,11,3,HB_SOUTH,20.39
01/02/2022,11,4,HB_SOUTH,23.13
01/02/2022,11,1,HB_WEST,23.75
01/02/2022,11,2,HB_WEST,24.47
01/02/2022,11,3,HB_WEST,24.98
01/02/2022,11,4,HB_WEST,27.64
01/02/2022,12,1,HB_HOUSTON,27.71
01/02/2022,12,2,HB_HOUSTON,26.13
01/02/2022,12,3,HB_HOUSTON,25.62
01/02/2022,12,4,HB_HOUSTON,24.58
01/02/2022,12,1,HB_NORTH,28.54
01/02/2022,12,2,HB_NORTH,27.07
01/02/2022,12,3,HB_NORTH,26.4
01/02/2022,12,4,HB_NORTH,25.3
01/02/2022,12,1,HB_SOUTH,23.8
01/02/2022,12,2,HB_SOUTH,22.55
01/02/2022,12,3,HB_SOUTH,22.13
01/02/2022,12,4,HB_SOUTH,21.28
01/02/2022,12,1,HB_WEST,28.89
01/02/2022,12,2,HB_WEST,27.51
01/02/2022,12,3,HB_WEST,26.73
01/02/2022,12,4,HB_WEST,25.61
01/02/2022,13,1,HB_HOUSTON,23.37
01/02/2022,13,2,HB_HOUSTON,22.34
01/02/2022,13,3,HB_HOUSTON,22.16
01/02/2022,13,4,HB_HOUSTON,22.18
